e1,e2,sim,label,annotated
progesterone,medroxyprogesterone,77,0,pubmed_formula
methylergonovine,ergonovine,77,0,pubmed_formula
tetracyclic antidepressants,maoi antidepressants,77,0,manually
synthetic estrogens,synthetic steroidal estrogen,77,0,manually
antihypertensive compounds,anti-hypertensives,77,1,manually
antithyroid agents,antiretroviral agents,77,0,manually
tannic acid,ethacrynic acid,77,0,pubmed_formula
ethyol,ethanol,77,0,pubmed_formula
dehydroaripiprazole,aripiprazole,77,0,pubmed_formula
tannic acid,tranexamic acid,77,0,pubmed_formula
histamine h2 antagonists,dopamine antagonists,77,0,manually
non-opioid analgesics,non-narcotic analgesics,77,0,manually
telithromycin,dirithromycin,77,0,pubmed_formula
imipramine hydrochloride,diltiazem hydrochloride,77,0,pubmed_formula
nizoral,neoral,77,0,pubmed_formula
vitamin d preparations,digitalis preparations,77,0,manually
multivitamin preparations,digitalis preparations,77,0,manually
benzothiadiazines,benzodiazepine,77,0,manually
nicotinic acid,nicotinamide,77,0,pubmed_formula
diphenoxylate hydrochloride,diphenoxylate hcl,77,1,pubmed_synonyms
azole antifungal,antifungal,77,0,manually
erythromycin,clarithromycin,77,0,pubmed_formula
antidiabetics,antidiabetic agent,77,1,manually
progestin-only oral contraceptives,combination oral contraceptives,77,0,manually
potassium-depleting diuretics,non-potassium sparing diuretics,77,0,manually
progestational contraceptives,combination oral contraceptives,77,0,manually
penicillin,benzylpenicillin,77,0,manually
hormonal contraceptive,combination hormonal contraceptives,77,0,manually
nitrous oxide,nitroprusside,77,0,manually
somatostatin,somatostatin analog,77,0,manually
desipramine hydrochloride,bepridil hydrochloride,77,0,pubmed_formula
dopamine d2 receptor antagonists,dopamine antagonists,77,0,manually
succinylcholine chloride,succinylcholine,77,0,pubmed_formula
septra,sectral,77,0,pubmed_formula
lodine,codeine,77,0,pubmed_formula
iodine,codeine,77,0,pubmed_formula
anticonvulsant medications,anticonvulsant agents,77,1,manually
imidazole antifungals,azole antifungal agents,77,0,manually
fluoxetine hydrochloride,diltiazem hydrochloride,77,0,pubmed_formula
oxytetracycline,doxycycline,77,0,pubmed_formula
analgesic drugs,analgesic agents,77,1,manually
cns depressants,anti-depressants,77,0,manually
tindal,inderal,77,0,pubmed_formula
h2-antagonists,5-ht3 antagonists,77,0,manually
imipramine hydrochloride,buspirone hydrochloride,77,0,pubmed_formula
neoral,inderal,77,0,pubmed_formula
norethandrolone,oxandrolone,77,0,pubmed_formula
heroin,heparin,77,0,pubmed_formula
selegiline hydrochloride,buspirone hydrochloride,77,0,pubmed_formula
fluoxetine hydrochloride,buspirone hydrochloride,77,0,pubmed_formula
phenylalkylamine,l-phenylalanine,77,0,manually
valium,calcium,77,0,pubmed_formula
beta-adrenoceptor blocking agents,alpha-adrenergic blocking agents,77,0,manually
fondaparinux sodium,fondaparinux,77,0,pubmed_formula
beta-adrenergic blocking drugs,alpha-adrenergic blocking agents,77,0,manually
nuromax,inomax,77,0,manually
hydroxyitraconazole,itraconazole,77,0,pubmed_formula
interferon,alpha interferon,77,0,manually
ethoxzolamide,acetazolamide,77,0,pubmed_formula
perphenazine,acetophenazine,77,0,pubmed_formula
aminosalicylic acid,acetylsalicylic acid,77,0,pubmed_formula
b-blocking drug,b-blocking agent,77,1,manually
adrenergic drugs,adrenergic,77,1,manually
b-adrenergic blocking agents,adrenergic blockers,77,0,manually
trovafloxacin,grepafloxacin,77,0,pubmed_formula
xanthine bronchodilators,bronchodilators,77,0,manually
b-blocking agent,calcium-blocking agents,77,0,manually
verapamil hydrochloride,imipramine hydrochloride,77,0,pubmed_formula
quinolone antibiotic,polyene antibiotics,77,0,manually
trazodone hydrochloride,imipramine hydrochloride,77,0,pubmed_formula
central nervous system stimulants,central nervous system (cns) depressants,77,0,manually
trovafloxacin,ciprofloxacin,77,0,pubmed_formula
protriptyline,amitriptyline,77,0,pubmed_formula
nortriptyline,amitriptyline,77,0,pubmed_formula
cerivastatin sodium,cerivastatin,77,0,pubmed_formula
dextran,bextra,77,0,pubmed_formula
piperacillin sodium,piperacillin,77,0,pubmed_formula
cephalosporin,cephaloridine,77,0,pubmed_formula
hypnotic drugs,hypotensive drugs,77,0,manually
anti-hypertensive drug,hypotensive drugs,77,0,manually
hypoglycemic agents,hypoglycemic,77,1,manually
misonidazole,imidazole,76,0,pubmed_formula
mao-b inhibitor,ace-inhibitors,76,0,manually
antidiabetics,antidiabetic products,76,1,manually
nitazoxanide,diazoxide,76,0,pubmed_formula
anisindione,ranitidine,76,0,pubmed_formula
nimodipine,nicardipine,76,0,pubmed_formula
nifedipine,nicardipine,76,0,pubmed_formula
altretamine,arbutamine,76,0,pubmed_formula
antacid preparations,digitalis preparations,76,0,manually
b-adrenergic blocking agents,adrenergic agents,76,0,manually
oxytocic agents,oxytocic drugs,76,1,manually
hydroxylamine,dapsone hydroxylamine,76,0,pubmed_formula
antithyroid drugs,antiretroviral drugs,76,0,manually
sodium valproate,sodium bicarbonate,76,0,pubmed_formula
spermidine,risperidone,76,0,pubmed_formula
antiparkinsonian agents,antiparkinson drugs,76,1,manually
anesthetic agents,antipsychotic agents,76,0,manually
sevoflurane,desflurane,76,0,pubmed_formula
erythrohydrobupropion,hydroxybupropion,76,0,pubmed_formula
imipramine,desipramine,76,0,pubmed_formula
macrolide immunosuppressant,immunosuppressants,76,0,manually
warfarin,s(-) warfarin,76,0,manually
antidiabetic medication,anticholinergic medications,76,0,manually
antiplatelet medication,antihypertensive medication,76,0,manually
warfarin sodium,heparin sodium,76,0,pubmed_formula
pentamidine,gentamicin,76,0,pubmed_formula
combined oral contraceptives,hormonal contraceptive,76,0,manually
antihypertensive medication,antihypertensive agents,76,1,manually
macrolide immunosuppressant,immuno-suppressant,76,0,manually
antihypertensive compounds,antihypertensive,76,1,manually
antipsychotic medications,antipsychotic agents,76,1,manually
hydroflumethiazide,hydrochlorothiazide,76,0,pubmed_formula
anticonvulsant drugs,antigout drugs,76,0,manually
tolbutamide,nilutamide,76,0,pubmed_formula
nisoldipine,nifedipine,76,0,pubmed_formula
terbutaline,sertraline,76,0,pubmed_formula
simvastatin,lovastatin,76,0,pubmed_formula
thiosulfate,sodium thiosulfate,76,0,manually
diphenoxylate hydrochloride,diltiazem hydrochloride,76,0,pubmed_formula
diphenhydramine,dimenhydrinate,76,0,pubmed_formula
miconazole,fluconazole,76,0,pubmed_formula
vitamin-d,vitamin b-12,76,0,manually
methaqualone,methadone,76,0,pubmed_formula
vitamin k,vitamin b-12,76,0,pubmed_formula
antipyrine,aminopyrine,76,0,pubmed_formula
vitamin e,vitamin b-12,76,0,pubmed_formula
arbutamine,terbutaline,76,0,pubmed_formula
orphenadrine,ephedrine,76,0,pubmed_formula
selegiline hydrochloride,fexofenadine hydrochloride,76,0,pubmed_formula
vitamin d,vitamin b-12,76,0,manually
type 1c antiarrhythmics,antiarrhythmic,76,0,manually
vitamin c,vitamin b-12,76,0,pubmed_formula
antiplatelet agents,antianxiety agents,76,0,manually
thyroid products,thyroid drugs,76,1,manually
vaccines,live vaccines,76,0,manually
antibacterial drug,anti-malarial drugs,76,0,manually
live typhoid vaccines,live vaccines,76,0,manually
azlocillin,amoxicillin,76,0,pubmed_formula
lamotrigine,famotidine,76,0,pubmed_formula
vitamin b-12,vitamin a,76,0,pubmed_formula
tricyclic anti-depressants,anti-depressants,76,0,manually
bezafibrate,etofibrate,76,0,pubmed_formula
tolbutamide,tolazamide,76,0,pubmed_formula
alendronate,etidronate,76,0,pubmed_formula
pravastatin,lovastatin,76,0,pubmed_formula
antidiabetic products,antacid products,76,0,manually
ibandronate,etidronate,76,0,pubmed_formula
ranitidine,anileridine,76,0,pubmed_formula
methionine,ethionamide,76,0,pubmed_formula
methionine,methenamine,76,0,pubmed_formula
simethicone,methionine,76,0,pubmed_formula
quinolone antibiotic,aminoglycoside antibiotic,76,0,manually
tolbutamide,dobutamine,76,0,pubmed_formula
ofloxacin,gemifloxacin,76,0,pubmed_formula
xanthine bronchodilators,adrenergic bronchodilators,76,0,manually
tnf blocking agents,ganglionic blocking agents,76,0,manually
vitamin supplements,iron supplement,76,0,manually
oxipurinol,allopurinol,76,0,pubmed_formula
trazodone,furazolidone,76,0,pubmed_formula
sodium valproate,sodium perchlorate,76,0,pubmed_formula
ethinamate,ethionamide,76,0,pubmed_formula
allopurinol sodium,allopurinol,76,0,pubmed_formula
nicardipine,isradipine,76,0,pubmed_formula
mycophenolate mofetil,mycophenolate,76,0,pubmed_formula
nisoldipine,isradipine,76,0,pubmed_formula
vitamins,multivitamins,76,0,manually
cns depressants,antidepressant,76,0,manually
vitamin d3,vitamin b12,76,0,pubmed_formula
ondansetron,dolasetron,76,0,pubmed_formula
doxazosin mesylate,dolasetron mesylate,76,0,pubmed_formula
anti-coagulants,anticonvulsant,76,0,manually
sulfisoxazole,sulfamethoxazole,76,0,pubmed_formula
h2-receptor antagonists,dopamine d2 receptor antagonists,76,0,manually
doxylamine,doxycycline,76,0,pubmed_formula
xanthine bronchodilators,sympathomimetic bronchodilators,76,0,manually
magnesium-aluminum hydroxide,aluminum hydoxide,76,0,manually
magnesium hydroxide,aluminum hydroxide,76,0,pubmed_formula
fluvoxamine,fluoxetine,76,0,pubmed_formula
haloperidol,droperidol,76,0,pubmed_formula
cephalothin,cephalexin,76,0,pubmed_formula
zidovudine,idoxuridine,76,0,pubmed_formula
chlorprothixene,chloroprocaine,76,0,pubmed_formula
cephalothin sodium,cephalothin,76,0,pubmed_formula
sodium perchlorate,perchlorate,76,0,pubmed_formula
catecholamine depletors,catecholamines,76,0,manually
promazine,procarbazine,76,0,pubmed_formula
chlorprothixene,chlorpromazine,76,0,pubmed_formula
nortriptyline hydrochloride,clonidine hydrochloride,76,0,pubmed_formula
beta adrenergic blocking agents,non-selective beta-adrenergic-blocking agents,76,0,manually
mechlorethamine,chlorthalidone,76,0,pubmed_formula
beta-adrenoceptor blocking agents,beta-adrenergic blocking drugs,76,0,manually
pyridoxine,pralidoxime,76,0,pubmed_formula
warfarin,r(+) warfarin,76,0,manually
fenofibrate,clofibrate,76,0,pubmed_formula
cloxacillin,azlocillin,76,0,pubmed_formula
beta adrenergic blockers,beta-adrenergic-blocking agents,76,1,manually
prochlorperazine edisylate,prochlorperazine,76,0,pubmed_formula
cortico-steroids,corticotropin,76,0,manually
tolbutamide,carboxytolbutamide,76,0,pubmed_formula
norethindrone acetate,norethindrone,76,0,pubmed_formula
spermidine,pentamidine,76,0,pubmed_formula
clonidine hydrochloride,bepridil hydrochloride,76,0,pubmed_formula
protamine,promethazine,76,0,manually
diltiazem hydrochloride,bepridil hydrochloride,76,0,pubmed_formula
benzthiazide,benzothiadiazines,76,0,manually
hydroxychloroquine,chloroquine,76,0,pubmed_formula
triazolobenzodiazepines,benzodiazepine,76,0,manually
sparfloxacin,ofloxacin,76,0,pubmed_formula
progestin,progesterone,76,1,pubmed_synonyms
pentazocine,benzocaine,76,0,pubmed_formula
carbamazepine epoxide,carbamazepine,76,0,pubmed_formula
contraceptive product,contraceptive,76,1,manually
fluoxetine hydrochloride,propoxyphene hydrochloride,76,0,pubmed_formula
cns-depressant drug,cns depressants,76,1,manually
progestogens,progestin,76,0,manually
sodium cephalothin,cephalothin,76,0,pubmed_formula
buspirone hydrochloride,bepridil hydrochloride,76,0,pubmed_formula
lincomycin,clindamycin,76,0,pubmed_formula
vecuronium,pancuronium,76,0,pubmed_formula
isoproterenol hydrochloride,buspirone hydrochloride,76,0,pubmed_formula
phenytoin,phentolamine,76,0,pubmed_formula
paroxetine,atomoxetine,76,0,pubmed_formula
calcium-blocking agents,beta-blocking agent,76,0,manually
plicamycin,clindamycin,76,0,pubmed_formula
rocuronium,pancuronium,76,0,pubmed_formula
anticholinergic medications,anticholinergic drugs,75,1,manually
oxazepam,doxapram,75,0,pubmed_formula
nimodipine,iodine,75,0,pubmed_formula
clofibric acid,boric acid,75,0,pubmed_formula
ethoxzolamide,ethionamide,75,0,pubmed_formula
indocin,cinoxacin,75,0,pubmed_formula
lomefloxacin,gemifloxacin,75,0,pubmed_formula
levofloxacin,gemifloxacin,75,0,pubmed_formula
metoclopramide,loperamide,75,0,pubmed_formula
lodine,amlodipine,75,0,pubmed_formula
plaquenil,plendil,75,0,pubmed_formula
guanadrel,anadrol,75,0,pubmed_formula
analgesic drugs,analgesic,75,1,manually
anticholinergic medications,anticholinergic agent,75,1,manually
ethoxzolamide,dorzolamide,75,0,pubmed_formula
arginine,amrinone,75,0,pubmed_formula
compazine,cocaine,75,0,pubmed_formula
sulfapyridine,sulfadoxine,75,0,pubmed_formula
naproxen sodium,divalproex sodium,75,0,pubmed_formula
fluoxetine hydrochloride,colestipol hydrochloride,75,0,manually
lofexidine,lodine,75,0,pubmed_formula
norfluoxetine,norfloxacin,75,0,pubmed_formula
phenothiazine,pentazocine,75,0,pubmed_formula
norfloxacin,ciprofloxacin,75,0,pubmed_formula
selegiline hydrochloride,colestipol hydrochloride,75,0,manually
nortriptyline hydrochloride,colestipol hydrochloride,75,0,manually
anticholinergic medications,anticonvulsant medications,75,0,manually
norfloxacin,grepafloxacin,75,0,pubmed_formula
phosphate,bisphosphonates,75,0,manually
diuretic agents,adrenergic agents,75,0,manually
metaclopramide,loperamide,75,0,pubmed_formula
antipsychotic medications,anticonvulsant medications,75,0,manually
trovafloxacin,norfloxacin,75,0,pubmed_formula
furoxone,suboxone,75,0,pubmed_formula
hydroxyitraconazole,intraconazole,75,0,pubmed_formula
lidocaine,cocaine,75,0,pubmed_formula
lodine,felodipine,75,0,pubmed_formula
sulfonamide,sulfacetamide,75,0,manually
minocycline,aminophylline,75,0,pubmed_formula
phenyltoloxamine,phenylalkylamine,75,0,manually
cortico-steroids,systemic corticosteroids,75,0,manually
chlorpheniramine,prochlorperazine,75,0,pubmed_formula
lansoprazole,esomeprazole,75,0,pubmed_formula
thioxanthines,thiothixene,75,0,manually
calcium carbonate,calcium acetate,75,0,pubmed_formula
voriconazole,ketoconazole,75,0,pubmed_formula
dopamine d2 receptor antagonists,angiotensin ii receptor antagonists,75,0,manually
desipramine hydrochloride,clonidine hydrochloride,75,0,pubmed_formula
beta blocking agents,beta-adrenoceptor blocking agents,75,0,manually
thyroxine,thyroid,75,0,pubmed_formula
busulfex,busulfan,75,1,pubmed_synonyms
fluoxetine hydrochloride,levamisole hydrochloride,75,0,pubmed_formula
pronestyl,ponstel,75,0,pubmed_formula
toradol,estradiol,75,0,pubmed_formula
codeine,clonidine,75,0,pubmed_formula
antiminth,anti-helminthic,75,0,manually
thienobenzodiazepine derivative,phenothiazine derivatives,75,0,manually
secobarbitone sodium,phenobarbital sodium,75,0,pubmed_formula
perphenazine,fluphenazine,75,0,pubmed_formula
hiv protease inhibitors,cholinesterase inhibitors,75,0,manually
beta blocking agents,beta-adrenergic-blocking agents,75,0,manually
thioxanthenes,thiothixene,75,0,manually
folic acid antagonists,calcium antagonist,75,0,manually
pseudoephedrine,ephedrine,75,0,manually
urinary acidifying agents,gastrointestinal acidifying agents,75,0,manually
thyroid products,antacid products,75,0,manually
taxol,tao,75,0,pubmed_formula
statin,echistatin,75,0,manually
statin,lovastatin,75,0,manually
adrenergic neuron blocking agents,ganglionic blocking agents,75,0,manually
cocaine,clozapine,75,0,pubmed_formula
zidovudine,iodine,75,0,pubmed_formula
pyrimethamine,methenamine,75,0,pubmed_formula
anticholinergic compounds,anticholinergic,75,1,manually
promethazine,methdilazine,75,0,pubmed_formula
glycosides,aminoglycoside,75,0,manually
ketoconazole,itraconazole,75,0,pubmed_formula
3-hydroxy levobupivacaine,levobupivacaine,75,0,manually
thioridazine,mesoridazine,75,0,pubmed_formula
polyene antibiotics,macrolide antibiotics,75,0,manually
antithrombotic agent,antiarrhythmic agent,75,0,manually
loperamide,chlorpropamide,75,0,pubmed_formula
selegiline hydrochloride,nortriptyline hydrochloride,75,0,pubmed_formula
voriconazole,itraconazole,75,0,pubmed_formula
loratadine,lodine,75,0,pubmed_formula
rosuvastatin,cerivastatin,75,0,pubmed_formula
dideoxyinosine,didanosine,75,1,drugbank_syn
theophylline,8-phenyltheophylline,75,0,pubmed_formula
enflurane,dexfenfluramine,75,0,pubmed_formula
antithrombotic agent,antipsychotic agents,75,0,manually
levamisole hydrochloride,imipramine hydrochloride,75,0,pubmed_formula
dopaminergic agents,serotoninergic agents,75,0,manually
anticoagulant medication,anticholinergic medications,75,0,manually
thyroxine,dextrothyroxine,75,0,manually
rosuvastatin,atorvastatin,75,0,pubmed_formula
antifungal drug,antifungal agents,75,1,manually
cefoxitin,cefotan,75,0,pubmed_formula
ciclosporin,cephalosporin,75,0,pubmed_formula
antidiabetic medication,antipsychotic medications,75,0,manually
rifamycin,rifadin,75,0,pubmed_formula
rifadin,rifabutin,75,0,pubmed_formula
cyclosporin,cephalosporin,75,0,pubmed_formula
oxazepam,diazepam,75,0,pubmed_formula
ardeparin,heparin,75,1,pubmed_synonyms
hydroxylamine,hydralazine,75,0,pubmed_formula
maprotiline,protriptyline,75,0,pubmed_formula
cerivastatin,atorvastatin,75,0,pubmed_formula
xanthine derivatives,coumarin derivatives,75,0,manually
diasone,deltasone,75,0,pubmed_formula
cycloserine,cyclosporin a,75,0,pubmed_formula
quinolone,quinine,75,0,pubmed_formula
heparin sodium,cephalothin sodium,75,0,pubmed_formula
cyclosporine,cyclopropane,75,0,pubmed_formula
fexofenadine hydrochloride,desipramine hydrochloride,75,0,pubmed_formula
antiplatelet agents,antineoplastic agents,75,0,manually
oxytocic agents,oxytocics,75,1,manually
progestational contraceptives,hormonal contraceptive,75,0,manually
antihypertensive compounds,antihypertensive medication,75,1,manually
oxymetholone,azoxymethane,75,0,pubmed_formula
erythromycin,azithromycin,75,0,pubmed_formula
trazodone hydrochloride,desipramine hydrochloride,75,0,pubmed_formula
beta-adrenergic blocker,b-adrenergic blocking agents,75,1,manually
sparine,pargyline,75,0,pubmed_formula
quinolone class,quinolone,75,1,manually
selegiline hydrochloride,imipramine hydrochloride,75,0,pubmed_formula
somatostatin,atorvastatin,75,0,pubmed_formula
nortriptyline hydrochloride,imipramine hydrochloride,75,0,pubmed_formula
depakote,depakene,75,0,pubmed_formula
trecator,receptor,75,0,manually
diltiazem hydrochloride,desipramine hydrochloride,75,0,pubmed_formula
serotonin reuptake inhibitors,proton pump inhibitors,75,0,manually
s- warfarin,r(+) warfarin,75,0,manually
deltasone,dapsone,75,0,pubmed_formula
naproxen sodium,dantrolene sodium,75,0,pubmed_formula
antivirals,antiretroviral,75,0,manually
naproxen,naprosyn,75,1,pubmed_synonyms
antidiabetic medication,antiretroviral medication,75,0,manually
sodium perchlorate,sodium citrate,75,0,pubmed_formula
oxcarbazepine,dacarbazine,75,0,pubmed_formula
cephalothin,cephaloridine,75,0,pubmed_formula
imidazole drugs,imidazole,75,1,manually
hormonal contraceptive,combination oral contraceptives,75,0,manually
diphenylhydantoin,diphenhydramine,75,0,pubmed_formula
dehydro-aripiprazole,aripiprazole,75,0,pubmed_formula
antihypertensive compounds,anti-hypertensive drug,75,1,manually
triflupromazine,promazine,75,0,pubmed_formula
maoi antidepressants,antidepressant drugs,75,0,manually
naloxone,nabilone,75,0,pubmed_formula
colestid,colistin,75,0,pubmed_formula
sodium dodecyl sulfate,sodium thiosulfate,75,0,pubmed_formula
skeletal-muscle relaxants,muscle relaxant,75,0,manually
skeletal muscle relaxants,muscle relaxant,75,0,manually
peripheral vasoconstrictors,nasal vasoconstrictor,75,0,manually
fluoxetine hydrochloride,nortriptyline hydrochloride,75,0,pubmed_formula
topiramate,opiate,75,0,manually
lidocaine,indocin,75,0,pubmed_formula
trecator,natrecor,75,0,pubmed_formula
chloroprocaine,chirocaine,75,0,pubmed_formula
dacarbazine,carbamazepine,75,0,pubmed_formula
orasone,cordarone,75,0,pubmed_formula
antiemetics,antidiabetics,75,0,manually
cephalothin,cephalosporin,75,0,pubmed_formula
sodium citrate,sodium bicarbonate,75,0,pubmed_formula
benzodiazepine,benzocaine,75,0,pubmed_formula
perphenazine,orphenadrine,75,0,pubmed_formula
fluoxetine,fluothane,74,0,pubmed_formula
cordarone,amiodarone,74,1,pubmed_synonyms
iopidine,idoxuridine,74,0,pubmed_formula
hydrochlorothiazide,hydrochloroquine,74,0,manually
valdecoxib,celecoxib,74,0,pubmed_formula
bromocriptine mesylate,bromocriptine,74,0,pubmed_formula
hydrocodone,hydrochloroquine,74,0,manually
amrinone,aminopyrine,74,0,pubmed_formula
desloratadine,3-hydroxydesloratadine,74,0,pubmed_formula
protamine,imipramine,74,0,manually
latanoprost,iloprost,74,0,pubmed_formula
clonidine hydrochloride,buspirone hydrochloride,74,0,pubmed_formula
4-hydroxytolbutamide,4-hydroxytamoxifen,74,0,pubmed_formula
macrolide antibiotics,aminoglycoside antibiotic,74,0,manually
vitamins,vitamin b12,74,0,manually
salicylic acid,para-aminosalicylic acid,74,0,pubmed_formula
miconazole,imidazole,74,0,pubmed_formula
hypoglycemic medications,hypoglycemic agents,74,1,manually
protease inhibitor,cholinesterase inhibitors,74,0,manually
sodium bicarbonate,lithium carbonate,74,0,pubmed_formula
potassium chloride,ammonium chloride,74,0,pubmed_formula
phenyltoloxamine,phenylpropanolamine,74,0,pubmed_formula
promazine,piperazine,74,0,pubmed_formula
adrenergic agents,adrenergic,74,1,manually
5-ht3 antagonists,5-ht1b/1d agonists,74,0,manually
pancreatin,acitretin,74,0,manually
beta adrenergic blocking agents,ganglionic blocking agents,74,0,manually
nelfinavir,indinavir,74,0,pubmed_formula
indomethacin,indocin,74,1,pubmed_synonyms
beta blocking agents,ganglionic blocking agents,74,0,manually
mao-inhibitors,ace inhibitor,74,0,manually
digitalis glycosides,cardiac glycosides,74,0,manually
mao inhibitor,ace-inhibitors,74,0,manually
omega-conotoxin gvia,omega-agatoxin iva,74,0,pubmed_formula
phenobarbitone,pentobarbital,74,0,pubmed_formula
lidocaine,chirocaine,74,0,pubmed_formula
bacitracin,acitretin,74,0,manually
beta blocking agents,calcium-blocking agents,74,0,manually
trifluoperazine,fluphenazine,74,0,pubmed_formula
kanamycin,gentamycin,74,0,pubmed_formula
beta-adrenergic receptor blocking agents,adrenergic beta-receptor blockers,74,1,manually
penicillin,geocillin,74,0,manually
adrenaline,adenosine,74,0,pubmed_formula
opiate analgesics,non-opioid analgesics,74,0,manually
ketamine,amphetamine,74,0,pubmed_formula
zinc insulin,insulin,74,0,pubmed_formula
didanosine,adenosine,74,0,pubmed_formula
arecoline,adrenaline,74,0,pubmed_formula
salbutamol,albuterol,74,1,drugbank_syn
cefixime,cefmenoxime,74,0,pubmed_formula
vinblastine,inapsine,74,0,pubmed_formula
triazolam,alprazolam,74,0,pubmed_formula
stavudine,lamivudine,74,0,pubmed_formula
peripheral adrenergic blocking drugs,alpha-adrenergic blocking agents,74,0,manually
thyroxine,l-tyrosine,74,0,pubmed_formula
loxapine,fluvoxamine,74,0,pubmed_formula
vitamin-d,vitamin b3,74,0,manually
rocaltrol,calcitriol,74,1,pubmed_synonyms
progestin,paroxetine,74,0,pubmed_formula
cefixime,ceftazidime,74,0,pubmed_formula
h2 antagonists,5ht3 antagonist class,74,0,manually
altretamine,ketamine,74,0,pubmed_formula
pentamidine,ketamine,74,0,pubmed_formula
methenamine,ketamine,74,0,pubmed_formula
fosinopril sodium,fosinopril,74,0,pubmed_formula
phenytoin,phenformin,74,0,pubmed_formula
acarbose,acamprosate,74,0,pubmed_formula
dolasetron,alosetron,74,0,pubmed_formula
vitamin-d,vitamin b6,74,0,manually
sodium bicarbonate,calcium carbonate,74,0,pubmed_formula
temazepam,phenazepam,74,0,pubmed_formula
ethopropazine,chlorpromazine,74,0,pubmed_formula
diphenoxylate hydrochloride,isoproterenol hydrochloride,74,0,pubmed_formula
calcium-channel-blocking agents,calcium channel blocker,74,1,manually
mesalamine,gallamine,74,0,pubmed_formula
protamine,paroxetine,74,0,manually
psychotropic agents,cytotoxic agents,74,0,manually
sodium colistimethate,sodium citrate,74,0,pubmed_formula
lincomycin,bleomycin,74,0,pubmed_formula
nafcillin,ampicillin,74,0,pubmed_formula
oxacillin,azlocillin,74,0,pubmed_formula
antibacterial drug,antimycobacterial,74,0,manually
combined oral contraceptives,progestin-only oral contraceptives,74,0,manually
selegiline hydrochloride,bepridil hydrochloride,74,0,pubmed_formula
levamisole hydrochloride,bepridil hydrochloride,74,0,pubmed_formula
imipramine hydrochloride,bepridil hydrochloride,74,0,pubmed_formula
salsalate,salicylate,74,0,pubmed_formula
tobramycin,rifamycin,74,0,pubmed_formula
dopaminergic agents,dopamine agonist,74,0,manually
scopolamine,dopamine,74,0,pubmed_formula
sex steroids,steroid,74,0,manually
tolazoline,stelazine,74,0,pubmed_formula
cuprimine,pyrilamine,74,0,pubmed_formula
anticonvulsant drugs,anticonvulsant medications,74,1,manually
prostin e2,progestin,74,0,pubmed_formula
nafcillin,azlocillin,74,0,pubmed_formula
coumarin anticoagulant,anticoagulant,74,0,manually
beta-adrenergic blocker,beta adrenergic-blocking agents,74,1,manually
spermine,desipramine,74,0,pubmed_formula
olanzapine,clozapine,74,0,pubmed_formula
histamine,echistatin,74,0,pubmed_formula
etoposide,teniposide,74,0,pubmed_formula
anticholinergic compounds,anticholinergic agent,74,1,manually
theobromine,tenormin,74,0,pubmed_formula
geocillin,azlocillin,74,0,manually
dopamine,desipramine,74,0,pubmed_formula
isoflurane,enflurane,74,0,manually
pilocarpine,procaine,74,0,pubmed_formula
anesthetic agents,antineoplastic agents,74,0,manually
methionine,methadone,74,0,pubmed_formula
colestipol hydrochloride,bepridil hydrochloride,74,0,manually
tricyclic antidepressant,antidepressant,74,0,manually
hormonal contraceptive,contraceptive,74,0,manually
antifungal agents,antifungal,74,1,manually
oxolinic acid,nicotinic acid,74,0,pubmed_formula
enalapril,benazepril,74,0,pubmed_formula
pentazocine,dezocine,74,0,pubmed_formula
arbutamine,protamine,74,0,manually
pyrilamine,protamine,74,0,manually
systemic corticosteroids,corticosteroid,74,0,manually
tacrolimus,sirolimus,74,0,pubmed_formula
broad-spectrum antibiotics,b-lactam antibiotics,74,0,manually
ergotamine,dihydroergotamine,74,0,pubmed_formula
dopaminergic agents,serotonergic agents,74,0,manually
trazodone,nefazodone,74,0,pubmed_formula
encainide,benzocaine,74,0,pubmed_formula
non-selective beta-adrenergic-blocking agents,b-adrenergic blocking agents,74,0,manually
propranolol,propofol,74,0,pubmed_formula
para-aminosalicylic acid,para-aminobenzoic acid,74,0,pubmed_formula
antihypertensive medication,antihypertensive,74,1,manually
anesthetic agents,antidiabetic agent,74,0,manually
antithrombotic agent,antidiabetic agent,74,0,manually
penicillin,nafcillin,74,0,pubmed_formula
trazodone,nafazodone,74,0,manually
divalproex sodium,divalproex,74,0,pubmed_formula
valproate,divalproex,74,1,pubmed_synonyms
thyroxine,pyridoxine,74,0,pubmed_formula
norfloxacin,enoxacin,74,0,pubmed_formula
spermine,risperidone,74,0,pubmed_formula
phenformin,metformin,74,0,pubmed_formula
rapamycin,tobramycin,74,0,pubmed_formula
etomidate,etidronate,74,0,pubmed_formula
echistatin,cisplatin,74,0,pubmed_formula
trimeprazine,triflupromazine,74,0,pubmed_formula
dantrolene sodium,dantrolene,74,0,pubmed_formula
pilocarpine,loxapine,74,0,pubmed_formula
antiretroviral medication,antiretroviral agents,74,1,manually
trimeprazine,trifluoperazine,74,0,pubmed_formula
anesthetic agents,anesthetic,74,1,manually
lotensin,angiotensin,74,0,manually
thiazide,ethionamide,74,0,pubmed_formula
trilafon,trichlorfon,74,0,pubmed_formula
histamine h2-receptor antagonists,angiotensin ii receptor antagonists,74,0,manually
iodamide,ethionamide,74,0,pubmed_formula
persantine,mesantoin,74,0,pubmed_formula
rapamycin,plicamycin,74,0,pubmed_formula
sparine,asparaginase,74,0,pubmed_formula
